id,Title,Artist,Genre,Danceability,Energy,Key,dB,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (seconds),Popularity
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,Dance/Electronic,52,76,4,-3.093,1,9,26,0.00000496,17,29,142,181,83
5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,Pop,60,66,1,-5.934,1,6,2,0.00006000,24,27,145,198,82
1j6xOGusnyXq3l6IryKF3,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Pop,68,79,1,-4.323,1,8,5,0.00000000,8,84,170,220,74
66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,Pop,63,65,5,-5.892,0,4,8,0.00000380,9,42,94,195,68
0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,Pop,80,60,5,-5.131,0,6,8,0.00000566,10,42,110,200,61
4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Dance/Electronic,84,80,1,-4.206,0,23,16,0.00000333,6,62,96,213,84
5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Pop,66,71,8,-4.154,1,5,3,0.00000000,8,74,103,175,83
6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,Alternative/Indie,80,80,1,-5.115,0,5,4,0.00011300,7,75,79,163,82
77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,Hip-Hop/Rap,74,68,2,-4.979,1,9,8,0.00002170,11,19,101,211,78
6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,Hip-Hop/Rap,91,63,2,-5.456,1,18,9,0.00000000,11,40,146,276,80
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,Hip-Hop/Rap,59,73,2,-6.343,1,9,5,0.00000000,31,19,88,269,79
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,Dance/Electronic,66,67,4,-5.944,1,15,64,0.00000102,8,38,180,228,82
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,Hip-Hop/Rap,63,80,6,-4.183,1,4,22,0.00000000,25,49,123,220,85
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,Pop,79,90,1,-3.112,0,6,17,0.00000000,5,79,95,202,77
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,Reggaeton,81,81,2,-3.023,0,6,3,0.00009330,26,84,80,233,79
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,Hip-Hop/Rap,88,52,11,-6.531,1,14,20,0.00000000,11,16,95,175,79
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,Alternative/Indie,35,30,4,-10.109,0,3,93,0.00000000,10,12,115,200,91
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,Hip-Hop/Rap,82,82,2,-5.474,1,27,0,0.00000000,16,51,182,190,77
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,91,62,1,-6.638,0,10,0,0.00005390,10,42,150,177,85
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,Reggaeton,75,81,6,-4.249,1,8,32,0.00000000,20,56,94,176,81
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Pop,59,30,8,-7.365,1,3,78,0.00000000,12,36,95,260,79
5cepAtqnEQ6yVG6088zMM,Corazón (feat. Nego do Borel),Maluma,Reggaeton,72,74,9,-6.073,0,25,33,0.00001470,20,75,198,185,76
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,R&B,80,54,1,-6.351,1,4,20,0.00001660,17,39,137,203,85
5Y9fnynLlIvqtM710MHzf,Síguelo Bailando,Ozuna,Reggaeton,86,66,9,-7.11,0,6,17,0.00003970,9,63,98,227,75
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,Reggaeton,78,68,4,-4.985,0,14,18,0.00007260,7,62,166,193,76
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,Reggaeton,91,49,3,-6.688,1,7,13,0.00014700,13,84,94,197,73
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,Dance/Electronic,78,77,11,-5.991,1,4,1,0.00000491,33,49,123,213,85
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,Hip-Hop/Rap,96,35,5,-9.309,0,53,4,0.00000000,11,56,120,142,82
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,Pop,75,51,9,-7.621,1,25,54,0.00000255,10,42,92,197,80
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,Pop,28,70,2,-7.276,1,19,1,0.00011500,4,10,192,235,69
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,Hip-Hop/Rap,73,57,7,-7.066,0,13,85,0.00002140,11,69,130,95,84
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,Pop,68,62,10,-7.005,1,4,7,0.00000000,12,28,125,217,76
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,Pop,69,62,3,-6.318,1,4,30,0.00000377,10,37,105,206,78
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,Hip-Hop/Rap,55,76,0,-4.706,1,34,7,0.00000000,9,64,136,260,79
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,Pop,26,44,11,-6.593,0,4,10,0.00000127,11,10,180,239,83
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,Pop,55,59,11,-6.319,1,4,70,0.00000000,8,44,127,196,85
